time (s),clipX(v("/Vin" ?result "tran") 0.0 10.85E-6 ) (V),clipX(v("/Vout" ?result "tran") 0.0 10.85E-6 ) (V)
0.000,0.000,1.500
8.339E-9,12.51E-3,1.500
25.02E-9,37.53E-3,1.500
58.37E-9,87.56E-3,1.500
125.1E-9,187.6E-3,1.500
258.5E-9,387.8E-3,1.500
325.2E-9,487.8E-3,1.500
368.6E-9,553.0E-3,1.501
403.0E-9,604.6E-3,1.501
436.3E-9,654.5E-3,1.501
472.7E-9,709.1E-3,1.500
503.9E-9,755.8E-3,1.500
513.6E-9,770.4E-3,1.500
533.1E-9,799.7E-3,1.500
538.4E-9,807.6E-3,1.500
541.0E-9,811.5E-3,1.500
546.3E-9,819.5E-3,1.500
556.9E-9,835.3E-3,1.500
560.0E-9,840.0E-3,1.500
566.3E-9,849.4E-3,1.500
576.5E-9,864.8E-3,1.500
597.0E-9,895.5E-3,1.500
637.9E-9,956.8E-3,1.500
716.4E-9,1.075,1.500
787.3E-9,1.181,1.498
822.7E-9,1.234,1.494
840.5E-9,1.261,1.488
875.9E-9,1.314,1.451
908.6E-9,1.363,1.362
939.0E-9,1.409,1.206
969.2E-9,1.454,991.4E-3
976.6E-9,1.465,933.0E-3
991.3E-9,1.487,811.1E-3
1.000E-6,1.500,736.1E-3
1.004E-6,1.494,700.7E-3
1.009E-6,1.487,662.8E-3
1.015E-6,1.477,611.2E-3
1.027E-6,1.459,522.0E-3
1.039E-6,1.442,445.7E-3
1.053E-6,1.420,362.0E-3
1.073E-6,1.391,267.2E-3
1.111E-6,1.333,136.6E-3
1.149E-6,1.277,71.18E-3
1.191E-6,1.214,38.88E-3
1.226E-6,1.160,27.06E-3
1.267E-6,1.100,21.04E-3
1.317E-6,1.024,18.16E-3
1.388E-6,918.7E-3,17.08E-3
1.483E-6,775.5E-3,16.78E-3
1.504E-6,743.6E-3,16.74E-3
1.547E-6,679.9E-3,16.68E-3
1.585E-6,621.8E-3,16.65E-3
1.598E-6,602.3E-3,16.65E-3
1.625E-6,563.2E-3,16.63E-3
1.658E-6,513.7E-3,16.61E-3
1.686E-6,471.7E-3,16.60E-3
1.742E-6,387.7E-3,16.64E-3
1.806E-6,290.5E-3,20.00E-3
1.844E-6,233.3E-3,31.12E-3
1.884E-6,173.7E-3,68.00E-3
1.929E-6,106.6E-3,166.5E-3
1.969E-6,46.11E-3,324.3E-3
2.014E-6,-20.98E-3,566.9E-3
2.056E-6,-83.57E-3,835.2E-3
2.066E-6,-99.54E-3,908.6E-3
2.088E-6,-131.5E-3,1.055
2.111E-6,-166.7E-3,1.203
2.135E-6,-203.0E-3,1.320
2.156E-6,-234.1E-3,1.390
2.176E-6,-264.3E-3,1.434
2.212E-6,-318.4E-3,1.477
2.243E-6,-364.1E-3,1.491
2.278E-6,-416.9E-3,1.497
2.316E-6,-474.5E-3,1.499
2.369E-6,-553.3E-3,1.500
2.437E-6,-655.1E-3,1.500
2.531E-6,-796.3E-3,1.500
2.663E-6,-993.8E-3,1.500
2.850E-6,-1.275,1.500
3.000E-6,-1.500,1.500
3.004E-6,-1.494,1.500
3.013E-6,-1.481,1.500
3.029E-6,-1.456,1.500
3.063E-6,-1.406,1.500
3.117E-6,-1.325,1.500
3.188E-6,-1.218,1.500
3.287E-6,-1.069,1.500
3.431E-6,-853.1E-3,1.500
3.689E-6,-466.9E-3,1.500
4.000E-6,0.000,1.500
4.112E-6,168.3E-3,1.500
4.337E-6,504.9E-3,1.501
4.400E-6,600.1E-3,1.501
4.426E-6,639.4E-3,1.501
4.455E-6,682.1E-3,1.501
4.486E-6,729.0E-3,1.500
4.519E-6,778.4E-3,1.500
4.532E-6,797.4E-3,1.500
4.538E-6,806.9E-3,1.500
4.551E-6,825.8E-3,1.500
4.561E-6,842.2E-3,1.500
4.566E-6,848.8E-3,1.500
4.575E-6,861.8E-3,1.500
4.588E-6,881.7E-3,1.500
4.614E-6,921.4E-3,1.500
4.667E-6,1.001,1.500
4.773E-6,1.159,1.499
4.820E-6,1.230,1.494
4.844E-6,1.266,1.485
4.876E-6,1.313,1.451
4.910E-6,1.365,1.356
4.939E-6,1.409,1.202
4.970E-6,1.456,981.5E-3
4.978E-6,1.467,922.4E-3
4.989E-6,1.483,830.6E-3
5.000E-6,1.500,735.1E-3
5.004E-6,1.494,699.8E-3
5.009E-6,1.486,656.1E-3
5.017E-6,1.475,598.9E-3
5.031E-6,1.454,497.8E-3
5.043E-6,1.436,422.4E-3
5.058E-6,1.413,335.5E-3
5.080E-6,1.381,237.6E-3
5.122E-6,1.317,111.3E-3
5.175E-6,1.238,45.58E-3
5.213E-6,1.181,28.83E-3
5.251E-6,1.123,21.50E-3
5.294E-6,1.059,17.98E-3
5.357E-6,965.0E-3,16.32E-3
5.438E-6,843.3E-3,15.85E-3
5.528E-6,707.6E-3,15.69E-3
5.545E-6,682.9E-3,15.67E-3
5.578E-6,633.5E-3,15.64E-3
5.592E-6,612.7E-3,15.63E-3
5.617E-6,574.0E-3,15.61E-3
5.646E-6,530.8E-3,15.60E-3
5.675E-6,487.6E-3,15.58E-3
5.723E-6,415.4E-3,15.58E-3
5.812E-6,281.6E-3,21.71E-3
5.854E-6,218.9E-3,38.22E-3
5.894E-6,159.5E-3,84.38E-3
5.938E-6,92.36E-3,199.3E-3
5.979E-6,32.08E-3,372.4E-3
6.028E-6,-41.63E-3,654.0E-3
6.074E-6,-110.8E-3,961.4E-3
6.084E-6,-126.1E-3,1.032
6.104E-6,-156.6E-3,1.164
6.126E-6,-188.8E-3,1.280
6.146E-6,-219.6E-3,1.361
6.165E-6,-247.1E-3,1.412
6.195E-6,-292.9E-3,1.462
6.226E-6,-339.2E-3,1.485
6.259E-6,-388.7E-3,1.495
6.295E-6,-442.2E-3,1.498
6.340E-6,-509.4E-3,1.500
6.398E-6,-597.6E-3,1.500
6.478E-6,-716.3E-3,1.500
6.587E-6,-880.2E-3,1.500
6.744E-6,-1.116,1.500
6.960E-6,-1.440,1.500
7.000E-6,-1.500,1.500
7.004E-6,-1.494,1.500
7.013E-6,-1.481,1.500
7.027E-6,-1.460,1.500
7.055E-6,-1.418,1.500
7.107E-6,-1.340,1.500
7.175E-6,-1.237,1.500
7.270E-6,-1.096,1.500
7.403E-6,-894.8E-3,1.500
7.631E-6,-553.7E-3,1.500
7.953E-6,-70.00E-3,1.500
8.000E-6,0.000,1.500
8.093E-6,140.0E-3,1.500
8.280E-6,420.0E-3,1.500
8.373E-6,560.0E-3,1.501
8.406E-6,608.7E-3,1.501
8.436E-6,654.2E-3,1.501
8.473E-6,709.9E-3,1.500
8.504E-6,756.2E-3,1.500
8.515E-6,772.2E-3,1.500
8.536E-6,804.0E-3,1.500
8.541E-6,811.6E-3,1.500
8.551E-6,826.8E-3,1.500
8.562E-6,843.0E-3,1.500
8.575E-6,863.0E-3,1.500
8.587E-6,880.4E-3,1.500
8.606E-6,909.5E-3,1.500
8.645E-6,967.8E-3,1.500
8.697E-6,1.046,1.500
8.801E-6,1.202,1.496
8.838E-6,1.256,1.487
8.856E-6,1.283,1.475
8.892E-6,1.338,1.413
8.921E-6,1.382,1.301
8.952E-6,1.427,1.119
8.985E-6,1.477,861.6E-3
9.000E-6,1.500,731.9E-3
9.004E-6,1.494,696.7E-3
9.011E-6,1.484,643.4E-3
9.019E-6,1.471,577.7E-3
9.036E-6,1.446,460.0E-3
9.048E-6,1.427,385.5E-3
9.066E-6,1.402,296.2E-3
9.091E-6,1.363,192.2E-3
9.133E-6,1.300,89.59E-3
9.178E-6,1.232,43.44E-3
9.216E-6,1.176,28.28E-3
9.254E-6,1.120,21.37E-3
9.299E-6,1.051,17.88E-3
9.363E-6,954.8E-3,16.37E-3
9.450E-6,824.3E-3,15.95E-3
9.526E-6,710.9E-3,15.82E-3
9.542E-6,686.5E-3,15.80E-3
9.575E-6,637.8E-3,15.77E-3
9.587E-6,619.5E-3,15.76E-3
9.611E-6,583.1E-3,15.74E-3
9.635E-6,546.9E-3,15.73E-3
9.661E-6,508.2E-3,15.71E-3
9.702E-6,447.6E-3,15.70E-3
9.782E-6,326.3E-3,16.80E-3
9.823E-6,265.6E-3,21.65E-3
9.864E-6,203.6E-3,43.66E-3
9.917E-6,125.0E-3,131.8E-3
9.958E-6,63.68E-3,271.1E-3
10.00E-6,-601.1E-6,486.6E-3
10.04E-6,-66.78E-3,759.7E-3
10.09E-6,-130.9E-3,1.048
10.10E-6,-145.1E-3,1.112
10.12E-6,-173.6E-3,1.225
10.14E-6,-206.8E-3,1.328
10.16E-6,-233.3E-3,1.387
10.18E-6,-265.1E-3,1.434
10.21E-6,-316.3E-3,1.475
10.24E-6,-362.5E-3,1.490
10.28E-6,-414.3E-3,1.497
10.31E-6,-471.9E-3,1.499
10.37E-6,-549.0E-3,1.500
10.43E-6,-649.4E-3,1.500
10.53E-6,-787.6E-3,1.500
10.65E-6,-981.3E-3,1.500
10.84E-6,-1.257,1.500
